state,value
Alabama,20
Alaska,15
Arkansas,10
Arizona,5
California,1
Colorado,5
Connecticut,15
Delaware,15
District of Columbia,15
Florida,20
Georgia,20
Hawaii,10
Iowa,5
Idaho,1
Illinois,10
Indiana,15
Kansas,5
Kentucky,10
Louisiana,20
Maine,15
Maryland,15
Massachusetts,15
Michigan,15
Minnesota,5
Missouri,5
Mississippi,20
Montana,1
North Carolina,15
North Dakota,5
Nebraska,5
New Hampshire,15
New Jersey,15
New Mexico,5
Nevada,1
New York,15
Ohio,10
Oklahoma,5
Oregon,1
Pennsylvania,15
Rhode Island,15
South Carolina,20
South Dakota,5
Tennessee,15
Texas,5
Utah,1
Virginia,15
Vermont,15
Washington,1
Wisconsin,10
West Virginia,15
Wyoming,1
